name,deliveryFee_deliveroo,city,deliveryFee_takeaway,fee_difference
Magnum and Ben & Jerry's Store ,4.99,Antwerpen,5.59,-0.5999999999999996
Grom Gelato ,4.99,Antwerpen,5.59,-0.5999999999999996
Mister Spaghetti ,4.99,Oostende,2.49,2.5
Broodlunch,4.99,Antwerpen,3.49,1.5
Daddy's Dim  Sum ,4.99,Antwerpen,3.49,1.5
Phikul ,4.99,Antwerpen,3.49,1.5
Häagen-Dazs ,4.99,Wijnegem,5.59,-0.5999999999999996
Häagen-Dazs ,4.99,Wijnegem,2.99,2.0
Häagen-Dazs ,4.99,Wijnegem,2.99,2.0
Häagen-Dazs ,4.99,Wijnegem,2.99,2.0
Häagen-Dazs ,4.99,Wijnegem,2.99,2.0
Häagen-Dazs ,4.99,Wijnegem,2.99,2.0
Pizzeria Margherita,4.99,Malines,3.49,1.5
Pizzeria Margherita,4.99,Mechelen,3.49,1.5
Pizzeria Margherita,4.99,Mechelen,3.49,1.5
Pizzeria Margherita,4.99,Mechelen,3.49,1.5
Pizzeria Margherita,4.99,Mechelen,3.49,1.5
DAR Za,4.99,Leuven,3.49,1.5
Belchicken - Brugge,4.99,Brugge,0.0,4.99
Kefi Taverna,4.99,Evere,4.0,0.9900000000000002
Saladeria,4.99,Antwerpen,5.59,-0.5999999999999996
Kiplekker,4.99,Antwerpen,5.59,-0.5999999999999996
By Strofilia,4.99,Woluwé-Saint-Pierre,2.99,2.0
Barouche II,4.99,Gent,4.84,0.15000000000000036
Sushi Corner ,4.99,Turnhout,0.0,4.99
Rebelkitchens,4.99,Antwerpen,5.59,-0.5999999999999996
Happy Fries,4.99,Antwerpen,3.49,1.5
Bavet Oostende,4.99,Oostende,2.49,2.5
Indian Royal Palace,4.99,Strombeek-Bever,7.0,-2.01
Indian Royal Palace,4.99,Grimbergen,7.0,-2.01
Snack Canlar,4.99,Vilvoorde,3.0,1.9900000000000002
Hokkaido sushi LOV,4.99,Leuven,0.0,4.99
Henry's Bagel and Juice,4.99,Antwerpen,3.49,1.5
Henry's Bagel and Juice,4.99,Antwerpen,0.0,4.99
JACK's CHICKEN SHACK,4.99,Gent,4.84,0.15000000000000036
JACK's CHICKEN SHACK,4.99,Gent,4.84,0.15000000000000036
JACK's CHICKEN SHACK,4.99,Antwerpen,5.59,-0.5999999999999996
Poule & Poulette ,4.99,Oostende,2.49,2.5
De Zus Van Marrit ,4.99,Gent,4.84,0.15000000000000036
Deluxe Burger,4.99,Dendermonde,6.45,-1.46
Pizza service (BRG),4.99,Brugge,0.0,4.99
HOPE,4.99,Gent,5.59,-0.5999999999999996
Lujain Resto,4.99,Gent,4.84,0.15000000000000036
Pitta Roos,4.99,Sint-Andries,3.49,1.5
Roti Antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
Viva Lasagna,4.99,Uccle,3.84,1.1500000000000004
Agua na boca Antwerpen ,4.99,Antwerpen,1.0,3.99
Snack Délice Halal,4.99,Bruxelles,2.99,2.0
Snack Aalst,4.99,Aalst,0.0,4.99
Pitaya Gent,4.99,Gent,5.59,-0.5999999999999996
Leonidas Schaerbeek,4.99,Bruxelles,5.59,-0.5999999999999996
The Sheikh Shack حَلاَلْ,4.99,Gent,4.84,0.15000000000000036
The Sheikh Shack حَلاَلْ,4.99,Gent,4.84,0.15000000000000036
The Sheikh Shack حَلاَلْ,4.99,Antwerpen,5.59,-0.5999999999999996
Made in Sud (Uccle),5.0,Uccle,0.0,5.0
Restaurant Gabriel,4.99,Woluwé-Saint-Pierre,3.84,1.1500000000000004
Munis restaurant,4.99,Mechelen,0.0,4.99
Pitaya Melkmarkt,4.99,Antwerpen,5.59,-0.5999999999999996
Burger Paradise,4.99,Antwerpen,0.0,4.99
SMASH.B,4.99,Schaerbeek,2.49,2.5
Bbq hema,4.99,Antwerpen,5.59,-0.5999999999999996
HFC Korenmarkt,4.99,Gent,5.59,-0.5999999999999996
Frietcultuur ,4.99,Gent,4.84,0.15000000000000036
Nara Sushi Dendermonde,4.99,Dendermonde,8.0,-3.01
Fishtail ,4.99,Deurne,4.84,0.15000000000000036
Frituur vogelmarkt,4.99,Antwerpen,5.59,-0.5999999999999996
@ mor lakker is,4.99,Berchem,5.59,-0.5999999999999996
Chez Kloe,4.99,Laeken,2.0,2.99
Flying Focaccia,4.99,Gent,4.84,0.15000000000000036
Flying Focaccia,4.99,Gent,4.84,0.15000000000000036
Dash'd Burgers,4.99,Gent,4.84,0.15000000000000036
Dash'd Burgers,4.99,Gent,4.84,0.15000000000000036
Flying Focaccia,4.99,Antwerpen,5.59,-0.5999999999999996
Dash'd Burgers,4.99,Antwerpen,5.59,-0.5999999999999996
Bunch Antwerpen,4.99,Antwerpen,5.59,-0.5999999999999996
The Dough Bar - Edible Cookie Dough,4.99,Gent,4.84,0.15000000000000036
The Dough Bar - Edible Cookie Dough,4.99,Gent,4.84,0.15000000000000036
Honey bunny ,4.99,Gent,4.84,0.15000000000000036
Honey bunny ,4.99,Gand,4.84,0.15000000000000036
Çigköftem 🌱   Berchem,4.99,Antwerpen,5.59,-0.5999999999999996
Hasseltsekebab,4.99,Hasselt,0.0,4.99
Dailyslice,3.0,Brugge,4.99,-1.9900000000000002
Q'bap Gent,4.99,Gent,5.59,-0.5999999999999996
My pizza KORTRIJK,4.99,Kortrijk,0.0,4.99
Diamond Sushi,4.99,Antwerpen,3.49,1.5
Diamond Sushi,4.99,Antwerpen,0.0,4.99
The Cousin's Jette,4.99,Jette,0.0,4.99
L'AMAZONIE,4.99,Uccle,3.84,1.1500000000000004
In-Dish,4.99,Brugge,1.0,3.99
Friterie dailly,4.99,Schaerbeek,2.99,2.0
Pitaya - Leuven,4.99,Leuven,2.99,2.0
Oumi sushi,4.99,Gent,4.84,0.15000000000000036
The Fresh Princess,4.99,Gent,5.59,-0.5999999999999996
Fun fun Antwerpen,4.99,Antwerpen,3.49,1.5
Kalinka MECHELEN,4.99,Mechelen,3.49,1.5
My Tea Brand (Antwerpen),4.99,Antwerpen,4.84,0.15000000000000036
HoshiHoshi Express,4.99,Vilvorde,0.0,4.99
Tapeo GENT,4.99,Gent,4.84,0.15000000000000036
🇲🇽 Pick & Mex 🇲🇽,4.99,Antwerpen,5.59,-0.5999999999999996
Portus Ganda,4.99,Gent,5.59,-0.5999999999999996
PAMPAM BREDERODSTRAAT,4.99,Antwerpen,3.49,1.5
PAMPAM DEWAND,4.99,Laeken,5.59,-0.5999999999999996
Mahshi,4.99,Antwerpen,5.59,-0.5999999999999996
Chick 'n Dip ,4.99,Mechelen,3.49,1.5
Flavours of India antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
Bodhi,4.99,Leuven,3.49,1.5
Mio Pasta Antwerpen,4.99,Antwerpen,5.59,-0.5999999999999996
Saffuriya Sweets,4.99,Gent,5.59,-0.5999999999999996
Cigkofte And Rolls,4.99,Antwerpen,4.84,0.15000000000000036
Borgerholtse frit antwerpen,4.99,Borgerhout,5.59,-0.5999999999999996
Chickenworld ,4.99,Gent,4.84,0.15000000000000036
Pizza Santa,4.99,Gent,0.0,4.99
Momento antwerpen,4.99,Antwerpen,5.59,-0.5999999999999996
Tush ,4.99,Gent,4.84,0.15000000000000036
Tastyburger zuid,4.99,Antwerpen,5.59,-0.5999999999999996
ART OF SUSHI ANTWERP,4.99,Antwerpen,2.1,2.89
Subtime antwerpen,4.99,Antwerpen,3.49,1.5
Hong Kong City antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
Morocco Nuts,4.99,Mechelen,3.49,1.5
Maandeeq,4.99,Anvers,3.49,1.5
Can Pizzeria,0.0,Vilvorde,5.0,-5.0
RUBA healthy & fresh food,4.99,Antwerpen,4.84,0.15000000000000036
Yokoso - Mechelen,4.99,Mechelen,0.0,4.99
samo bakkerij,4.99,Antwerpen,5.59,-0.5999999999999996
MY PIZZA (KOR),4.99,Kortrijk,0.0,4.99
Oh’ fresh,4.99,Leuven,2.99,2.0
Bread & Olives,4.99,Strombeek-Bever,2.99,2.0
Philly Sandwich,4.99,Antwerpen,5.59,-0.5999999999999996
Kokorecci Antwerpen,4.99,Antwerpen,3.49,1.5
De Burgermeester,4.99,Hasselt,0.0,4.99
Happy Cooking,4.99,Merksem,0.0,4.99
Banh Mi Kiosk,4.99,Leuven,2.99,2.0
Banh Mi Kiosk,4.99,Leuven,2.99,2.0
Friet cafe Etoile dor,4.99,Heverlee,3.49,1.5
DeliverBOOO - Las Fiestas Gent,4.99,Gent,4.84,0.15000000000000036
Pizzeria L'AMI 2,4.99,Uccle,0.0,4.99
Sushi Omega,4.99,Antwerpen,4.84,0.15000000000000036
Rōnin Asian Fusion,4.99,Antwerpen,5.59,-0.5999999999999996
Seoul South Station,4.99,Leuven,2.99,2.0
Seoul South Station,4.99,Leuven,2.99,2.0
La salina,4.99,Alost,0.0,4.99
Kestè Pizzeria Bistro,4.99,Antwerpen,5.59,-0.5999999999999996
Pokérita ,4.99,Antwerpen,5.59,-0.5999999999999996
Sushi and Saki,4.99,Hasselt,0.0,4.99
Sushi Ledeberg,4.99,Ledeberg,0.0,4.99
Beiruti Xpress Mechelen,4.99,Mechelen,3.49,1.5
bolle burgers,4.99,Antwerpen,5.59,-0.5999999999999996
Frituur het kroontje,4.99,Deurne,2.99,2.0
Le Corner,4.99,Jette,0.0,4.99
Ariana food,4.99,Gent,5.59,-0.5999999999999996
Snack Hakko,4.99,Molenbeek-Saint-Jean,5.59,-0.5999999999999996
Tikka masala house,4.99,Leuven,0.0,4.99
So Sushi - Kraainem ,4.99,Kraainem,4.0,0.9900000000000002
J&V Food&Drinks,4.99,Aalst,0.0,4.99
Komé bowls,4.99,Mechelen,3.49,1.5
Komé smoothies,4.99,Mechelen,3.49,1.5
Komé buns,4.99,Mechelen,3.49,1.5
Kubaba,4.99,Gent,5.59,-0.5999999999999996
Bubble Bar Wijnegem,4.99,Wijnegem,5.59,-0.5999999999999996
Bubble Bar Wijnegem,4.99,Wijnegem,2.99,2.0
Bubble Bar Wijnegem,4.99,Wijnegem,2.99,2.0
Bubble Bar Wijnegem,4.99,Wijnegem,2.99,2.0
Bubble Bar Wijnegem,4.99,Wijnegem,2.99,2.0
Bubble Bar Wijnegem,4.99,Wijnegem,2.99,2.0
BATTERIES INCLUDED Oostende,4.99,Oostende,2.49,2.5
BATTERIES INCLUDED Gent,4.99,Gent,5.59,-0.5999999999999996
BATTERIES INCLUDED Mechelen,4.99,Mechelen,3.49,1.5
Via Via Antwerpen,4.99,Antwerpen,4.84,0.15000000000000036
Garden of Flavours creperie & brunch,4.99,Antwerpen,1.0,3.99
