name,deliveryFee_deliveroo,city,deliveryFee_takeaway,fee_difference
Chee Kofte & Wraps,4.99,Leuven,3.49,1.5
Frituur artevelde,4.99,Gent,5.59,-0.5999999999999996
Orient Kitchen,4.99,Antwerpen,0.0,4.99
Aloha Poké bowl ,4.99,Antwerpen,4.84,0.15000000000000036
grillmixcentrum,4.99,Gent,5.59,-0.5999999999999996
De Nijl | Leuven,4.99,Leuven,0.0,4.99
Vera Italia,4.99,Uccle,3.0,1.9900000000000002
Burger King Antwerp,4.99,Antwerpen,4.84,0.15000000000000036
TANDOORI-PASTA,4.99,Antwerpen,4.84,0.15000000000000036
TANDOORI-PASTA,4.99,Antwerpen,4.84,0.15000000000000036
Chamas Tacos,4.99,Antwerpen,5.59,-0.5999999999999996
Epicuro,4.99,Bruxelles,0.0,4.99
Emmy's eats and sweets,4.99,Gent,4.84,0.15000000000000036
Steakhouse pizzaria Amsterdam,4.99,Antwerpen,0.0,4.99
Frituur Heuvelpoort,4.99,Gent,4.84,0.15000000000000036
Rainbow Sushi,4.99,Wilrijk,0.0,4.99
Beiruti,4.99,Gent,4.84,0.15000000000000036
Burger King Brugge,4.99,Brugge,4.49,0.5
Bavet,4.99,Brugge,3.49,1.5
Forno A'Legna,4.99,Borgerhout,4.84,0.15000000000000036
Adana Kebab BBQ,4.99,Mechelen,0.0,4.99
Only Kebab,4.99,Antwerpen,4.84,0.15000000000000036
Evita’s eethuis,4.99,Antwerpen,5.59,-0.5999999999999996
Bite Leuven,4.99,Leuven,2.99,2.0
La Frite de Forest,4.99,Forest,2.99,2.0
Sos Lunch,4.99,Jette,0.0,4.99
Libanezza,4.99,Antwerpen,2.1,2.89
Lasagne Shop,4.99,Antwerpen,0.0,4.99
Bambu Street Food,4.99,Malines,3.49,1.5
Bambu Street Food,4.99,Mechelen,3.49,1.5
Bambu Street Food,4.99,Mechelen,3.49,1.5
Bambu Street Food,4.99,Mechelen,3.49,1.5
Bambu Street Food,4.99,Mechelen,3.49,1.5
De Brugsche tafel,4.99,Brugge,0.0,4.99
Okipana Poké Bowl,4.99,Jette,2.0,2.99
Da Mario Take Away,4.99,Schaerbeek,2.99,2.0
Chick 'n Dip,4.99,Leuven,3.49,1.5
Holy Guacamoly Zuid,4.99,Gent,3.49,1.5
Frites Atelier,4.99,Antwerpen,4.84,0.15000000000000036
Oats Day Long,4.99,Gent,5.59,-0.5999999999999996
Pili Piri,4.99,Leuven,2.99,2.0
Pearl of Hong Kong,4.99,Berchem,0.0,4.99
Hau Wang,4.99,Molenbeek-Saint-Jean,0.0,4.99
Belchicken,4.99,Leuven,2.99,2.0
Risotto Express,4.99,Brugge,3.49,1.5
Bianca Farina,4.99,Antwerpen,5.59,-0.5999999999999996
Verona | Antwerp,4.99,Antwerpen,5.59,-0.5999999999999996
Balls & Glory Mechelen,4.99,Mechelen,3.49,1.5
Wasbar Leuven,4.99,Leuven,2.99,2.0
O'Tacos,4.99,Gand,5.59,-0.5999999999999996
O'Tacos,4.99,Leuven,2.99,2.0
Indian Masala,4.99,Gent,0.0,4.99
O'Tacos,4.99,Bruxelles,0.0,4.99
Senor Taco Antwerp,4.99,Antwerpen,0.0,4.99
The Cheese Wheel Pasta,4.99,Antwerpen,5.59,-0.5999999999999996
Wabi Sabi sushi & oriental food restaurant,4.99,Leuven,2.99,2.0
Brasserie Agrea,4.99,Gent,5.59,-0.5999999999999996
Australian Home Made Ice Cream Keyserlei,4.99,Antwerpen,3.49,1.5
Damasveneto,4.99,Antwerpen,3.49,1.5
Papa Paolo's Pizza,4.99,Kortrijk,0.0,4.99
Frituur ‘t koxke,4.99,Antwerpen,4.84,0.15000000000000036
LiQ Gent,4.99,Gent,5.59,-0.5999999999999996
LiQ Leuven,4.99,Leuven,2.0,2.99
The Avocado Bar Mechelen,4.99,Malines,3.49,1.5
The Avocado Bar Mechelen,4.99,Mechelen,3.49,1.5
